ticker,yahoo,name,sector,sub_industry
A2A,A2A.MI,A2A,Utilities,Multi-Utilities
AMP,AMP.MI,Amplifon,Health Care,Health Care Providers
AZM,AZM.MI,Azimut Holding,Financials,Asset Management
BAMI,BAMI.MI,Banco BPM,Financials,Banks
BMED,BMED.MI,Banca Mediolanum,Financials,Diversified Financial Services
BMPS,BMPS.MI,Banca Monte dei Paschi,Financials,Banks
BPE,BPE.MI,BPER Banca,Financials,Banks
BC,BC.MI,Brunello Cucinelli,Consumer Discretionary,Luxury Goods
BZU,BZU.MI,Buzzi,Materials,Construction Materials
CPR,CPR.MI,Davide Campari,Consumer Staples,Beverages
DIA,DIA.MI,DiaSorin,Health Care,Diagnostics & Research
ENEL,ENEL.MI,Enel,Utilities,Electric Utilities
ENI,ENI.MI,Eni,Energy,Integrated Oil & Gas
RACE,RACE.MI,Ferrari,Consumer Discretionary,Automobiles
FBK,FBK.MI,FinecoBank,Financials,Banks
G,G.MI,Assicurazioni Generali,Financials,Insurance
HER,HER.MI,Hera,Utilities,Multi-Utilities
IP,IP.MI,Interpump Group,Industrials,Industrial Machinery
ISP,ISP.MI,Intesa Sanpaolo,Financials,Banks
INW,INW.MI,Infrastrutture Wireless Italiane,Communication Services,Telecom Infrastructure
IG,IG.MI,Italgas,Utilities,Gas Utilities
IVG,IVG.MI,Iveco Group,Industrials,Trucks & Heavy Machinery
LDO,LDO.MI,Leonardo,Industrials,Aerospace & Defense
LTMC,LTMC.MI,Lottomatica Group,Consumer Discretionary,Casinos & Gaming
MB,MB.MI,Mediobanca,Financials,Banks
MONC,MONC.MI,Moncler,Consumer Discretionary,Luxury Goods
NEXI,NEXI.MI,Nexi,Financials,Payment Services
PIRC,PIRC.MI,Pirelli & C.,Consumer Discretionary,Auto Components
PST,PST.MI,Poste Italiane,Financials,Insurance & Postal Services
PRY,PRY.MI,Prysmian,Industrials,Electrical Equipment
REC,REC.MI,Recordati,Health Care,Pharmaceuticals
SPM,SPM.MI,Saipem,Energy,Oil & Gas Services
SRG,SRG.MI,Snam,Utilities,Gas Utilities
STLAM,STLAM.MI,Stellantis,Consumer Discretionary,Automobiles
STMMI,STMMI.MI,STMicroelectronics,Information Technology,Semiconductors
TIT,TIT.MI,Telecom Italia,Communication Services,Telecom Services
TEN,TEN.MI,Tenaris,Energy,Oil & Gas Equipment
TRN,TRN.MI,Terna,Utilities,Electric Utilities
UCG,UCG.MI,UniCredit,Financials,Banks
UNI,UNI.MI,Unipol Assicurazioni,Financials,Insurance
